Age,Total 1970,Male 1970,Female 1970,Total 1971,Male 1971,Female 1971,Total 1972,Male 1972,Female 1972,Total 1973,Male 1973,Female 1973,Total 1974,Male 1974,Female 1974,Total 1975,Male 1975,Female 1975,Total 1976,Male 1976,Female 1976,Total 1977,Male 1977,Female 1977,Total 1978,Male 1978,Female 1978,Total 1979,Male 1979,Female 1979,Total 1980,Male 1980,Female 1980,Total 1981,Male 1981,Female 1981,Total 1982,Male 1982,Female 1982,Total 1983,Male 1983,Female 1983,Total 1984,Male 1984,Female 1984,Total 1985,Male 1985,Female 1985,Total 1986,Male 1986,Female 1986,Total 1987,Male 1987,Female 1987,Total 1988,Male 1988,Female 1988,Total 1989,Male 1989,Female 1989,Total 1990,Male 1990,Female 1990,Total 1991,Male 1991,Female 1991,Total 1992,Male 1992,Female 1992,Total 1993,Male 1993,Female 1993,Total 1994,Male 1994,Female 1994,Total 1995,Male 1995,Female 1995,Total 1996,Male 1996,Female 1996,Total 1997,Male 1997,Female 1997,Total 1998,Male 1998,Female 1998,Total 1999,Male 1999,Female 1999,Total 2000,Male 2000,Female 2000,Total 2001,Male 2001,Female 2001,Total 2002,Male 2002,Female 2002,Total 2003,Male 2003,Female 2003,Total 2004,Male 2004,Female 2004,Total 2005,Male 2005,Female 2005,Total 2006,Male 2006,Female 2006,Total 2007,Male 2007,Female 2007,Total 2008,Male 2008,Female 2008,Total 2009,Male 2009,Female 2009,Total 2010,Male 2010,Female 2010,Total 2011,Male 2011,Female 2011,Total 2012,Male 2012,Female 2012,Total 2013,Male 2013,Female 2013,Total 2014,Male 2014,Female 2014,Total 2015,Male 2015,Female 2015,Total 2016,Male 2016,Female 2016,Total 2017,Male 2017,Female 2017,Total 2018,Male 2018,Female 2018,Total 2019,Male 2019,Female 2019,Total 2020,Male 2020,Female 2020,Total 2021,Male 2021,Female 2021,Total 2022,Male 2022,Female 2022,Total 2023,Male 2023,Female 2023,Total 2024,Male 2024,Female 2024,Total 2025,Male 2025,Female 2025,Total 2026,Male 2026,Female 2026,Total 2027,Male 2027,Female 2027,Total 2028,Male 2028,Female 2028,Total 2029,Male 2029,Female 2029,Total 2030,Male 2030,Female 2030,Total 2031,Male 2031,Female 2031,Total 2032,Male 2032,Female 2032,Total 2033,Male 2033,Female 2033,Total 2034,Male 2034,Female 2034,Total 2035,Male 2035,Female 2035,Total 2036,Male 2036,Female 2036,Total 2037,Male 2037,Female 2037,Total 2038,Male 2038,Female 2038,Total 2039,Male 2039,Female 2039,Total 2040,Male 2040,Female 2040,Total 2041,Male 2041,Female 2041,Total 2042,Male 2042,Female 2042,Total 2043,Male 2043,Female 2043,Total 2044,Male 2044,Female 2044,Total 2045,Male 2045,Female 2045,Total 2046,Male 2046,Female 2046,Total 2047,Male 2047,Female 2047,Total 2048,Male 2048,Female 2048,Total 2049,Male 2049,Female 2049,Total 2050,Male 2050,Female 2050
0,"58,489","29,781","28,708","58,824","30,028","28,796","52,040","26,604","25,436","46,783","23,739","23,044","47,285","24,207","23,078","49,165","25,285","23,880","50,546","25,989","24,557","53,372","27,386","25,986","56,430","28,699","27,731","59,384","30,452","28,932","67,354","34,538","32,816","67,562","34,669","32,893","69,461","35,596","33,865","68,876","35,200","33,676","67,899","34,911","32,988","68,522","35,149","33,373","69,597","35,492","34,105","68,714","35,139","33,575","70,433","36,214","34,219","72,421","37,071","35,350","77,504","39,650","37,854","78,013","39,924","38,089","77,837","39,847","37,990","77,768","39,826","37,942","77,800","39,855","37,945","77,858","39,898","37,960","77,653","39,806","37,847","77,575","39,779","37,796","77,654","39,833","37,821","77,731","39,886","37,845","77,742","39,905","37,837","78,581","40,317","38,264","79,596","40,820","38,776","80,318","41,172","39,146","81,234","41,624","39,610","82,256","42,130","40,126","83,685","42,844","40,841","84,897","43,447","41,450","85,830","43,907","41,923","86,508","44,237","42,271","87,041","44,493","42,548","86,413","44,158","42,255","85,723","43,801","41,922","85,318","43,586","41,732","85,226","43,536","41,690","85,267","43,547","41,720","85,398","43,608","41,790","85,441","43,625","41,816","85,501","43,641","41,860","85,667","43,721","41,946","85,859","43,820","42,039","81,737","41,837","39,900","84,048","43,018","41,030","82,255","42,102","40,153","81,361","41,645","39,716","82,733","42,344","40,389","83,390","42,680","40,710","83,993","42,990","41,003","84,526","43,263","41,263","85,050","43,532","41,518","85,631","43,830","41,801","86,302","44,174","42,128","87,029","44,547","42,482","87,770","44,927","42,843","88,513","45,308","43,205","89,242","45,681","43,561","89,940","46,039","43,901","90,684","46,421","44,263","91,481","46,829","44,652","92,234","47,215","45,019","92,893","47,552","45,341","93,389","47,807","45,582","93,829","48,033","45,796","94,286","48,267","46,019","94,665","48,461","46,204","94,962","48,614","46,348","95,161","48,716","46,445","95,302","48,788","46,514","95,437","48,859","46,578","95,536","48,910","46,626","95,636","48,961","46,675"
1,"56,890","29,163","27,727","58,403","29,733","28,670","58,654","29,938","28,716","51,977","26,568","25,409","47,537","24,113","23,424","47,911","24,523","23,388","49,920","25,664","24,256","51,478","26,457","25,021","55,026","28,218","26,808","58,464","29,714","28,750","61,810","31,726","30,084","68,726","35,241","33,485","67,594","34,673","32,921","69,109","35,401","33,708","68,972","35,237","33,735","68,369","35,144","33,225","68,585","35,169","33,416","70,159","35,771","34,388","69,871","35,728","34,143","72,086","37,066","35,020","74,491","38,137","36,354","75,401","38,601","36,800","75,659","38,731","36,928","76,012","38,910","37,102","76,465","39,140","37,325","76,937","39,380","37,557","77,150","39,487","37,663","77,499","39,664","37,835","77,993","39,915","38,078","78,491","40,168","38,323","78,923","40,387","38,536","79,698","40,758","38,940","80,646","41,216","39,430","81,301","41,525","39,776","82,147","41,932","40,215","83,108","42,397","40,711","84,478","43,071","41,407","85,629","43,633","41,996","86,493","44,048","42,445","87,108","44,337","42,771","87,571","44,549","43,022","86,890","44,215","42,675","86,205","43,881","42,324","85,798","43,691","42,107","85,700","43,654","42,046","85,613","43,630","41,983","85,869","43,772","42,097","85,857","43,782","42,075","85,982","43,862","42,120","86,083","43,928","42,155","86,250","44,029","42,221","86,315","44,047","42,268","82,655","42,302","40,353","84,845","43,421","41,424","83,002","42,480","40,522","82,061","41,998","40,063","83,410","42,685","40,725","84,044","43,009","41,035","84,622","43,307","41,315","85,146","43,575","41,571","85,689","43,854","41,835","86,274","44,154","42,120","86,950","44,501","42,449","87,681","44,876","42,805","88,427","45,259","43,168","89,175","45,642","43,533","89,909","46,018","43,891","90,611","46,378","44,233","91,360","46,763","44,597","92,163","47,174","44,989","92,921","47,563","45,358","93,584","47,902","45,682","94,082","48,158","45,924","94,524","48,385","46,139","94,984","48,621","46,363","95,363","48,815","46,548","95,662","48,969","46,693","95,859","49,070","46,789","96,000","49,143","46,857","96,135","49,213","46,922","96,233","49,264","46,969"
2,"53,900","27,428","26,472","56,802","29,115","27,687","58,206","29,630","28,576","58,587","29,900","28,687","52,838","27,003","25,835","48,185","24,440","23,745","48,666","24,904","23,762","50,863","26,143","24,720","53,111","27,288","25,823","57,056","29,249","27,807","60,175","30,538","29,637","63,189","32,442","30,747","68,903","35,328","33,575","67,400","34,568","32,832","69,352","35,522","33,830","69,590","35,553","34,037","68,573","35,246","33,327","69,273","35,523","33,750","71,472","36,448","35,024","71,635","36,641","34,994","73,581","37,771","35,810","74,566","38,273","36,293","74,908","38,444","36,464","75,343","38,664","36,679","75,876","38,934","36,942","76,429","39,214","37,215","76,723","39,361","37,362","77,155","39,579","37,576","77,728","39,869","37,859","78,307","40,162","38,145","78,820","40,422","38,398","79,794","40,923","38,871","80,941","41,513","39,428","81,793","41,951","39,842","82,839","42,489","40,350","83,999","43,085","40,914","85,575","43,895","41,680","86,930","44,592","42,338","87,995","45,139","42,856","88,805","45,556","43,249","89,460","45,893","43,567","88,650","45,459","43,191","87,860","45,034","42,826","87,340","44,748","42,592","87,132","44,620","42,512","86,937","44,503","42,434","87,091","44,561","42,530","86,972","44,479","42,493","86,996","44,471","42,525","86,990","44,449","42,541","87,050","44,460","42,590","87,047","44,433","42,614","87,945","44,876","43,069","83,983","42,979","41,004","86,145","44,084","42,061","84,213","43,097","41,116","83,201","42,578","40,623","84,520","43,250","41,270","85,115","43,554","41,561","85,678","43,845","41,833","86,232","44,128","42,104","86,781","44,410","42,371","87,370","44,712","42,658","88,053","45,063","42,990","88,791","45,442","43,349","89,545","45,829","43,716","90,301","46,216","44,085","91,041","46,595","44,446","91,750","46,959","44,791","92,508","47,348","45,160","93,320","47,764","45,556","94,085","48,157","45,928","94,753","48,499","46,254","95,254","48,757","46,497","95,698","48,984","46,714","96,161","49,222","46,939","96,541","49,417","47,124","96,841","49,571","47,270","97,037","49,672","47,365","97,176","49,744","47,432","97,310","49,813","47,497"
3,"54,821","27,951","26,870","53,806","27,376","26,430","56,570","28,989","27,581","58,137","29,591","28,546","59,584","30,408","29,176","53,579","27,385","26,194","48,967","24,836","24,131","49,610","25,388","24,222","52,520","26,997","25,523","55,124","28,327","26,797","59,233","30,386","28,847","61,497","31,224","30,273","63,362","32,531","30,831","68,723","35,232","33,491","67,646","34,694","32,952","69,974","35,846","34,128","69,807","35,664","34,143","69,258","35,605","33,653","70,552","36,193","34,359","73,245","37,373","35,872","73,284","37,566","35,718","74,304","38,080","36,224","74,684","38,266","36,418","75,156","38,499","36,657","75,726","38,783","36,943","76,317","39,077","37,240","76,648","39,238","37,410","77,116","39,469","37,647","77,726","39,773","37,953","78,342","40,080","38,262","78,892","40,353","38,539","79,821","40,847","38,974","80,922","41,429","39,493","81,730","41,861","39,869","82,729","42,391","40,338","83,844","42,980","40,864","85,374","43,782","41,592","86,683","44,471","42,212","87,702","45,011","42,691","88,467","45,421","43,046","89,078","45,751","43,327","88,427","45,398","43,029","87,786","45,046","42,740","87,421","44,837","42,584","87,371","44,788","42,583","87,320","44,740","42,580","87,634","44,880","42,754","87,669","44,872","42,797","87,853","44,947","42,906","88,005","45,001","43,004","88,224","45,091","43,133","87,876","44,882","42,994","88,692","45,273","43,419","89,362","45,599","43,763","85,276","43,641","41,635","87,410","44,732","42,678","85,391","43,700","41,691","84,317","43,150","41,167","85,607","43,807","41,800","86,187","44,103","42,084","86,780","44,409","42,371","87,338","44,694","42,644","87,891","44,978","42,913","88,485","45,283","43,202","89,174","45,637","43,537","89,919","46,020","43,899","90,679","46,410","44,269","91,443","46,801","44,642","92,189","47,183","45,006","92,905","47,551","45,354","93,671","47,944","45,727","94,492","48,364","46,128","95,262","48,760","46,502","95,935","49,105","46,830","96,438","49,364","47,074","96,884","49,592","47,292","97,348","49,830","47,518","97,729","50,026","47,703","98,028","50,179","47,849","98,223","50,280","47,943","98,360","50,351","48,009"
4,"56,775","28,867","27,908","54,719","27,894","26,825","53,522","27,222","26,300","56,499","28,949","27,550","59,152","30,111","29,041","60,442","30,852","29,590","54,467","27,842","26,625","49,939","25,333","24,606","51,258","26,238","25,020","54,549","28,051","26,498","57,551","29,491","28,060","60,493","31,042","29,451","61,665","31,311","30,354","63,206","32,450","30,756","68,972","35,361","33,611","68,238","35,002","33,236","70,192","35,959","34,233","70,485","36,015","34,470","70,497","36,251","34,246","72,245","37,074","35,171","75,168","38,408","36,760","76,114","38,907","37,207","76,404","39,071","37,333","76,788","39,283","37,505","77,274","39,547","37,727","77,779","39,821","37,958","78,021","39,960","38,061","78,402","40,170","38,232","78,928","40,455","38,473","79,459","40,742","38,717","79,924","40,995","38,929","80,491","41,289","39,202","81,234","41,673","39,561","81,681","41,905","39,776","82,322","42,237","40,085","83,076","42,627","40,449","84,239","43,226","41,013","85,181","43,713","41,468","85,837","44,052","41,785","86,246","44,265","41,981","86,507","44,402","42,105","86,279","44,272","42,007","86,065","44,147","41,918","86,109","44,156","41,953","86,458","44,318","42,140","86,817","44,489","42,328","87,533","44,840","42,693","87,973","45,048","42,925","88,559","45,335","43,224","89,121","45,606","43,515","89,759","45,919","43,840","89,034","45,504","43,530","89,473","45,697","43,776","90,067","45,974","44,093","90,686","46,274","44,412","86,482","44,257","42,225","88,588","45,334","43,254","86,496","44,265","42,231","85,363","43,685","41,678","86,647","44,339","42,308","87,255","44,649","42,606","87,853","44,958","42,895","88,414","45,244","43,170","88,971","45,530","43,441","89,572","45,839","43,733","90,266","46,195","44,071","91,018","46,582","44,436","91,784","46,975","44,809","92,555","47,370","45,185","93,307","47,755","45,552","94,030","48,126","45,904","94,803","48,523","46,280","95,630","48,946","46,684","96,405","49,345","47,060","97,083","49,693","47,390","97,588","49,953","47,635","98,036","50,182","47,854","98,502","50,421","48,081","98,883","50,617","48,266","99,182","50,770","48,412","99,375","50,870","48,505"
5,"60,075","30,702","29,373","56,666","28,806","27,860","54,404","27,721","26,683","53,453","27,184","26,269","57,491","29,460","28,031","60,011","30,552","29,459","61,452","31,370","30,082","55,554","28,401","27,153","51,606","26,183","25,423","53,249","27,264","25,985","56,689","29,116","27,573","58,664","30,065","28,599","60,644","31,119","29,525","61,517","31,235","30,282","63,413","32,556","30,857","69,521","35,644","33,877","68,431","35,100","33,331","70,814","36,279","34,535","71,634","36,606","35,028","72,037","37,048","34,989","74,875","38,295","36,580","75,971","38,859","37,112","76,412","39,087","37,325","76,947","39,364","37,583","77,583","39,692","37,891","78,238","40,030","38,208","78,629","40,233","38,396","79,160","40,507","38,653","79,837","40,857","38,980","80,519","41,208","39,311","81,134","41,526","39,608","81,586","41,766","39,820","82,215","42,096","40,119","82,546","42,274","40,272","83,072","42,551","40,521","83,713","42,888","40,825","84,765","43,435","41,330","85,594","43,868","41,726","86,134","44,153","41,981","86,429","44,312","42,117","86,574","44,394","42,180","86,530","44,363","42,167","86,490","44,339","42,151","86,718","44,451","42,267","87,255","44,720","42,535","87,793","44,989","42,804","88,696","45,447","43,249","89,326","45,765","43,561","90,106","46,157","43,949","90,853","46,537","44,316","91,680","46,954","44,726","90,510","46,301","44,209","90,509","46,255","44,254","90,737","46,340","44,397","91,283","46,593","44,690","91,855","46,868","44,987","87,544","44,798","42,746","89,632","45,866","43,766","87,473","44,763","42,710","86,307","44,166","42,141","87,626","44,838","42,788","88,238","45,150","43,088","88,840","45,461","43,379","89,406","45,750","43,656","89,967","46,038","43,929","90,572","46,349","44,223","91,270","46,707","44,563","92,028","47,097","44,931","92,801","47,494","45,307","93,578","47,892","45,686","94,337","48,280","46,057","95,066","48,654","46,412","95,844","49,054","46,790","96,677","49,481","47,196","97,457","49,882","47,575","98,139","50,232","47,907","98,646","50,493","48,153","99,095","50,723","48,372","99,562","50,962","48,600","99,943","51,158","48,785","100,242","51,311","48,931"
6,"64,223","33,023","31,200","59,956","30,636","29,320","56,302","28,606","27,696","54,335","27,682","26,653","54,361","27,651","26,710","58,301","29,882","28,419","60,983","31,052","29,931","62,639","31,983","30,656","57,347","29,330","28,017","53,542","27,178","26,364","55,137","28,347","26,790","57,689","29,628","28,061","58,798","30,133","28,665","60,504","31,045","29,459","61,701","31,327","30,374","63,873","32,791","31,082","69,703","35,736","33,967","68,985","35,382","33,603","71,866","36,816","35,050","73,061","37,333","35,728","73,737","37,929","35,808","75,068","38,600","36,468","75,752","38,939","36,813","76,529","39,325","37,204","77,407","39,763","37,644","78,304","40,211","38,093","78,934","40,522","38,412","79,705","40,905","38,800","80,623","41,364","39,259","81,546","41,825","39,721","82,401","42,252","40,149","82,656","42,368","40,288","83,089","42,575","40,514","83,222","42,629","40,593","83,552","42,784","40,768","83,999","42,999","41,000","84,855","43,423","41,432","85,485","43,731","41,754","85,828","43,892","41,936","85,926","43,928","41,998","85,877","43,889","41,988","86,075","44,003","42,072","86,274","44,117","42,157","86,740","44,367","42,373","87,503","44,772","42,731","88,283","45,183","43,100","89,425","45,784","43,641","90,287","46,237","44,050","91,305","46,771","44,534","92,299","47,292","45,007","93,369","47,852","45,517","92,386","47,316","45,070","91,892","47,008","44,884","91,689","46,859","44,830","91,865","46,916","44,949","92,366","47,146","45,220","92,895","47,399","45,496","88,494","45,285","43,209","90,565","46,344","44,221","88,363","45,219","43,144","87,205","44,626","42,579","88,535","45,303","43,232","89,152","45,618","43,534","89,757","45,931","43,826","90,327","46,222","44,105","90,891","46,511","44,380","91,499","46,824","44,675","92,203","47,185","45,018","92,966","47,578","45,388","93,745","47,978","45,767","94,528","48,379","46,149","95,293","48,770","46,523","96,026","49,146","46,880","96,808","49,548","47,260","97,647","49,978","47,669","98,431","50,381","48,050","99,117","50,733","48,384","99,625","50,995","48,630","100,077","51,227","48,850","100,545","51,466","49,079","100,926","51,662","49,264"
7,"67,077","34,271","32,806","64,103","32,957","31,146","59,572","30,426","29,146","56,233","28,568","27,665","55,236","28,147","27,089","55,106","28,036","27,070","59,221","30,360","28,861","62,131","31,644","30,487","64,606","33,002","31,604","59,436","30,414","29,022","56,716","28,747","27,969","56,051","28,813","27,238","57,813","29,690","28,123","58,694","30,078","28,616","60,675","31,131","29,544","62,121","31,538","30,583","64,028","32,869","31,159","70,234","36,005","34,229","69,948","35,872","34,076","73,210","37,498","35,712","74,845","38,393","36,452","76,419","39,218","37,201","77,335","39,706","37,629","78,346","40,242","38,104","79,457","40,830","38,627","80,591","41,429","39,162","81,449","41,887","39,562","82,451","42,418","40,033","83,605","43,028","40,577","84,764","43,640","41,124","85,853","44,216","41,637","85,659","44,052","41,607","85,650","43,983","41,667","85,332","43,755","41,577","85,218","43,632","41,586","85,221","43,569","41,652","85,637","43,717","41,920","85,821","43,745","42,076","85,715","43,626","42,089","85,365","43,382","41,983","84,873","43,067","41,806","85,326","43,344","41,982","85,771","43,621","42,150","86,477","44,025","42,452","87,487","44,587","42,900","88,513","45,156","43,357","89,899","45,909","43,990","91,009","46,523","44,486","92,275","47,216","45,059","93,516","47,895","45,621","94,842","48,619","46,223","94,062","48,208","45,854","93,744","48,013","45,731","93,043","47,598","45,445","92,786","47,421","45,365","92,914","47,453","45,461","93,371","47,660","45,711","93,863","47,894","45,969","89,381","45,740","43,641","91,454","46,800","44,654","89,248","45,673","43,575","88,075","45,072","43,003","89,416","45,755","43,661","90,037","46,072","43,965","90,646","46,387","44,259","91,218","46,679","44,539","91,786","46,970","44,816","92,398","47,285","45,113","93,106","47,648","45,458","93,875","48,044","45,831","94,660","48,447","46,213","95,450","48,852","46,598","96,220","49,246","46,974","96,956","49,623","47,333","97,743","50,028","47,715","98,587","50,460","48,127","99,375","50,865","48,510","100,065","51,219","48,846","100,574","51,482","49,092","101,028","51,715","49,313","101,496","51,954","49,542"
8,"67,859","34,628","33,231","66,955","34,205","32,750","63,706","32,743","30,963","59,505","30,390","29,115","57,157","29,053","28,104","55,990","28,545","27,445","55,968","28,489","27,479","60,325","30,945","29,380","64,060","32,660","31,400","66,936","34,232","32,704","59,731","30,658","29,073","57,660","29,219","28,441","56,175","28,875","27,300","57,731","29,645","28,086","58,862","30,162","28,700","61,092","31,341","29,751","62,276","31,615","30,661","64,517","33,116","31,401","71,218","36,503","34,715","71,262","36,537","34,725","71,344","36,418","34,926","73,428","37,502","35,926","74,882","38,264","36,618","76,426","39,072","37,354","78,067","39,930","38,137","79,731","40,800","38,931","81,121","41,529","39,592","82,651","42,330","40,321","84,334","43,209","41,125","86,023","44,091","41,932","87,641","44,937","42,704","87,281","44,739","42,542","87,111","44,638","42,473","86,628","44,377","42,251","86,352","44,222","42,130","86,194","44,127","42,067","86,453","44,246","42,207","86,476","44,244","42,232","86,207","44,092","42,115","85,692","43,815","41,877","85,036","43,465","41,571","85,593","43,765","41,828","86,148","44,062","42,086","86,962","44,492","42,470","88,077","45,075","43,002","89,199","45,664","43,535","90,686","46,439","44,247","91,898","47,071","44,827","93,270","47,788","45,482","94,623","48,496","46,127","96,056","49,243","46,813","95,534","48,972","46,562","95,421","48,903","46,518","94,899","48,603","46,296","94,138","48,156","45,982","93,828","47,952","45,876","93,909","47,959","45,950","94,329","48,147","46,182","94,788","48,364","46,424","90,242","46,179","44,063","92,353","47,258","45,095","90,124","46,120","44,004","88,937","45,512","43,425","90,289","46,200","44,089","90,913","46,519","44,394","91,526","46,836","44,690","92,102","47,130","44,972","92,672","47,422","45,250","93,288","47,739","45,549","94,001","48,105","45,896","94,776","48,504","46,272","95,567","48,910","46,657","96,361","49,317","47,044","97,135","49,713","47,422","97,875","50,092","47,783","98,667","50,500","48,167","99,516","50,935","48,581","100,309","51,342","48,967","101,001","51,697","49,304","101,513","51,961","49,552","101,968","52,195","49,773"
9,"69,810","35,650","34,160","67,737","34,563","33,174","66,545","33,988","32,557","63,640","32,707","30,933","60,451","30,888","29,563","57,911","29,449","28,462","56,838","28,991","27,847","56,976","29,018","27,958","62,136","31,904","30,232","66,290","33,833","32,457","67,738","34,574","33,164","60,730","31,176","29,554","57,787","29,283","28,504","56,115","28,842","27,273","57,898","29,731","28,167","59,268","30,372","28,896","61,244","31,419","29,825","62,753","31,860","30,893","65,423","33,586","31,837","72,560","37,198","35,362","75,422","38,701","36,721","77,246","39,633","37,613","78,406","40,225","38,181","79,661","40,865","38,796","81,019","41,558","39,461","82,398","42,262","40,136","83,497","42,822","40,675","84,740","43,456","41,284","86,141","44,171","41,970","87,547","44,889","42,658","88,880","45,569","43,311","88,645","45,450","43,195","88,600","45,429","43,171","88,236","45,244","42,992","88,083","45,167","42,916","88,051","45,152","42,899","88,445","45,356","43,089","88,600","45,437","43,163","88,455","45,364","43,091","88,058","45,162","42,896","87,515","44,885","42,630","87,902","45,080","42,822","88,301","45,281","43,020","88,959","45,615","43,344","89,926","46,111","43,815","90,909","46,607","44,302","92,254","47,293","44,961","93,331","47,841","45,490","94,559","48,468","46,091","95,769","49,084","46,685","97,058","49,741","47,317","96,743","49,594","47,149","96,882","49,662","47,220","96,570","49,490","47,080","95,993","49,162","46,831","95,172","48,684","46,488","94,810","48,453","46,357","94,852","48,440","46,412","95,238","48,610","46,628","95,682","48,819","46,863","91,111","46,622","44,489","93,239","47,710","45,529","90,988","46,561","44,427","89,787","45,946","43,841","91,149","46,639","44,510","91,777","46,960","44,817","92,394","47,279","45,115","92,973","47,575","45,398","93,546","47,868","45,678","94,166","48,187","45,979","94,884","48,556","46,328","95,665","48,958","46,707","96,460","49,366","47,094","97,258","49,775","47,483","98,036","50,173","47,863","98,780","50,554","48,226","99,577","50,965","48,612","100,430","51,402","49,028","101,227","51,811","49,416","101,923","52,168","49,755","102,435","52,432","50,003"
